date,ticket,signal,lot,profit,result,strategy,session,market_regime,exec_grade,rr_ratio,quality_score,brain_score
2026-06-29T02:00:37.366390+00:00,9312494425,SELL,0.04,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,30.0,48.5
2026-06-29T02:01:28.614055+00:00,9312530483,BUY,0.07,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T02:04:01.233389+00:00,9312619510,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,48.5
2026-06-29T02:07:49.840752+00:00,9312728947,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,48.5
2026-06-29T02:11:13.042773+00:00,9312825528,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,48.5
2026-06-29T02:14:36.398060+00:00,9312905617,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,48.5
2026-06-29T02:17:08.905213+00:00,9312960667,BUY,0.07,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T02:29:24.865688+00:00,9313254013,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,48.5
2026-06-29T02:36:10.857564+00:00,9313408781,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,48.5
2026-06-29T02:36:11.224983+00:00,9313408956,SELL,0.07,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T02:38:18.608403+00:00,9313484981,SELL,0.07,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T02:39:35.046131+00:00,9313522278,SELL,0.11,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,48.5
2026-06-29T02:44:39.880960+00:00,9313641908,SELL,0.11,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,26.0
2026-06-29T02:46:47.287524+00:00,9313703874,BUY,0.07,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T03:14:44.242052+00:00,9314383185,SELL,0.11,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,26.0
2026-06-29T03:21:05.683124+00:00,9314538400,SELL,0.07,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,82.0,26.0
2026-06-29T03:32:04.673783+00:00,9314811755,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,26.0
2026-06-29T03:32:04.984635+00:00,9314811865,SELL,0.07,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T03:38:50.241386+00:00,9314969163,SELL,0.12,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,92.0,26.0
2026-06-29T03:42:13.088082+00:00,9315054415,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,92.0,26.0
2026-06-29T03:45:36.015430+00:00,9315139789,SELL,0.12,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,92.0,26.0
2026-06-29T03:51:56.846923+00:00,9315250443,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,92.0,26.0
2026-06-29T04:01:40.216001+00:00,9315454900,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,82.0,26.0
2026-06-29T04:18:32.539182+00:00,9315800550,SELL,0.11,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,74.0,26.0
2026-06-29T04:18:32.847152+00:00,9315800771,SELL,0.09,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T04:27:49.819333+00:00,9316002581,SELL,0.07,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,82.0,26.0
2026-06-29T04:32:28.503349+00:00,9316106785,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,82.0,26.0
2026-06-29T04:32:28.804970+00:00,9316106893,SELL,0.07,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T04:38:21.618790+00:00,9316302851,SELL,0.11,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,26.0
2026-06-29T04:38:21.956220+00:00,9316303149,SELL,0.09,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T04:41:45.312282+00:00,9316431438,SELL,0.1,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,82.0,26.0
2026-06-29T04:45:08.670917+00:00,9316547141,SELL,0.11,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,26.0
2026-06-29T04:54:01.377131+00:00,9316763834,SELL,0.12,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,26.0
2026-06-29T04:54:27.179633+00:00,9316774529,SELL,0.09,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T04:57:25.368532+00:00,9316871044,SELL,0.12,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,82.0,26.0
2026-06-29T04:57:51.127445+00:00,9316887118,SELL,0.09,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T05:00:49.053422+00:00,9316983796,SELL,0.06,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,30.0,26.0
2026-06-29T05:00:47+00:00,8966312990,BUY,0.04,-12.12,LOSS,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-29T05:01:15.071353+00:00,9317003279,SELL,0.01,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T05:03:49+00:00,8966438810,SELL,0.07,3.5,WIN,MICRO,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-29T05:04:38.639950+00:00,9317119370,SELL,0.04,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,30.0,24.25
2026-06-29T05:06:20.392658+00:00,9317175537,BUY,0.08,0.0,OPEN,MICRO,ASIA,RANGING,B,1.5,2.0,2.0
2026-06-29T05:07:30+00:00,8966555383,BUY,0.1,26.7,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-29T05:08:02.517765+00:00,9317230144,SELL,0.04,0.0,OPEN,SMC,ASIA,RANGING,A+,2.0,30.0,24.25
2026-06-29T05:08:47+00:00,8966598114,BUY,0.1,27.0,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
2026-06-29T05:15:39.422461+00:00,9317456270,SELL,0.04,0.0,OPEN,SMC,ASIA,RANGING,A,2.0,30.0,24.25
2026-06-29T05:13:10+00:00,8966728855,BUY,0.1,27.3,WIN,SMC,ASIA,UNKNOWN,SYNC,0,0,0
